Slide Number,Layout,Bottom,Top,Middle,Notes
1,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4,Магическая доска,МОДУЛЬ 1 УРОК 3,МОДУЛЬ 1 УРОК 3,
2,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1_1,Повторение,МОДУЛЬ 1 УРОК 3,,
3,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_2_1,Начало урока,Техническая проверка,"Поставьте 👍 в чат, если всё работает хорошо",
4,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_2_1,Повторение,"Викторина ""Клики и клавиши""","Сколько способов переключения программ мы знаем?

Какие горячие клавиши для копирования помните?

Что делает клавиша Backspace?",
5,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1,"Я хочу исправить ошибку в середине слова
Курсор стоит слева от неправильной буквы
Какую клавишу использовать?",Вспоминаем прошлый урок,Delete,
6,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1,"Я случайно добавил лишнюю букву в конце слова
Курсор мигает после последней буквы
Какую клавишу использовать?",Вспоминаем прошлый урок,Backspace,
7,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1,Какие команды для робота Bit мы изучили?,Вспоминаем прошлый урок,"Up, Down, Left, Right
Take Cargo, Put Cargo",
8,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_4_1,Новая тема,МОДУЛЬ 1 УРОК 3,SOS из обсерватории,
9,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Bit получил сигнал бедствия!,"Его друг Searcher - астроном попал в беду!
Всю ночь он искал сигналы от пропавшего Codey...",SOS из обсерватории,
10,CUSTOM_1_1_1_1_1_1_1_1_1_1_3_1_1_4_1_1_1_3_1,Что случилось?,"🔭 Searcher засек слабый сигнал от Codey
⚡ В критический момент отключилось питание  
💻 Главный компьютер обработки сигналов сломался!",SOS из обсерватории,
